rotten_tomatoes_link,movie_title,movie_info,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,binned
m/extremely_wicked_shockingly_evil_and_vile,"Extremely Wicked, Shockingly Evil and Vile","A chronicle of the crimes of Ted Bundy from the perspective of his longtime girlfriend, who refused to believe the truth about him for years.",R,Mystery & Suspense,Joe Berlinger,Michael Werwie,"Zac Efron, Lily Collins, Haley Joel Osment, Kaya Scodelario, John Malkovich, Jim Parsons",2019-05-03,2019-05-03,110.0,Netflix,Rotten,54.0,180.0,Spilled,57.0,1401.0,27,98,82,FLOP
m/extremity,Extremity,"A woman with a troubled past signs up for an extreme haunt, believing that putting herself through its nightmarish traumas will help her to heal.",NR,Horror,Anthony DiBlasi,"David Bond, Scott Swan","Dana Christina, Chad Rook, Natalie Victoria, J LaRose, Felissa Rose, Michael St. Michaels, Tiffany Shepis",2018-09-17,2018-10-02,98.0,Dark Elegy Films,Fresh,100.0,5.0,Spilled,44.0,36.0,0,5,0,HIT
m/eye_in_the_sky,Eye In The Sky,"A lieutenant general (Alan Rickman) and a colonel (Helen Mirren) face political opposition after ordering a drone missile strike to take out a group of suicide bombers in Nairobi, Kenya.",R,"Drama, Mystery & Suspense",Gavin Hood,Guy Hibbert,"Helen Mirren, Alan Rickman, Aaron Paul, Barkhad Abdi, Jeremy Northam, Iain Glen, Phoebe Fox, Kim Engelbrecht, Faisa Hassan, Aisha Takow, Armaan Haggio, Bob Chappell, Alex Gallafent, Babou Ceesay, Carl Beukes, Kate Liquorish, Richard Stephenson, Monde Sibisi, Warren Masemola, Gabriella Pinto, Tylan Wray, Ahmed Mohamed Ali, Hossain Dahir, Lemogang Tsipa, Gavin Hood, Kenneth Fok, Zak Rowlands, Ebby Weyime, Vusi Kunene, Paul Spaulding, Francis Chouler, Richard McCabe, Monica Dolan, Henry Pilime, Roberto Meyer, James Alexander, Sammy Maina, Bronson Mwangi, Hassan Abdullah, Lex King, Abdi Mohamed Osman, Dek Hassan, Mohammad Ali Sahra, Chaltu Ahmed, John Heffernan, Daniel Fox, Ed Suter, Virgil Graham Hopkins, Sonia Esgueria, Mohamed Abdirahmaan, Laila Robins, Omar Abu Kadir, Abdilatief Takow, Dileef Rahim, Robert Omache, Istar Takow, Andrew Ahula, Hilowli Hassan, Ali Mohamed, Ma Mohamed, Jessica Jones, Michael O'Keefe, Sonia Esgueira, Mohamed Fidow, Sabrina Hassan Abdulle, Fatima Mohamed Mohamud, Timayare Shamso Hassan, Fowzia Dahir, Fatumo Sheknoor Ali, Hamdi Adam Shire, Thelma Mabina, Sandile Ntobla",2016-04-01,2016-10-04,102.0,Eone Films,Certified-Fresh,95.0,216.0,Upright,82.0,32887.0,40,205,11,HIT
m/fagara,Fagara (Huajiao zhiwei),A young woman from Hong Kong has to reunite with her sisters to settle debts after her father dies.,NR,Drama,Heiward Mak,Heiward Mak,"Sammi Cheng, Megan Lai, Li Xiaofeng, Liu Jueichi, Wu Yanshu, Andy Lau, Richie Jen, Kenny Bee",2019-09-13,2020-03-25,120.0,China Lion Film Distribution,Fresh,100.0,8.0,Upright,86.0,7.0,2,8,0,HIT
m/faith_connections,Faith Connections,A Sadhu renounces society and adopts a baby renounced by society.,NR,"Documentary, Special Interest",Pan Nalin,Pan Nalin,"Kishan Tiwari, Hatha Yogi Baba, Mamta & Sonu, Shuklaji",2014-09-12,2016-08-10,115.0,Jungle Book Entertainment,Rotten,40.0,5.0,Upright,82.0,53.0,2,2,3,FLOP
m/faith_of_our_fathers_2015,Faith Of Our Fathers,"During the Vietnam War, two young fathers report for duty. Decades later, their sons meet for the first time before traveling to the Vietnam Veterans Memorial in Washington, D.C.",PG-13,"Drama, Faith & Spirituality",Carey Scott,"Carey Scott, Kevin Downes, David A.R. White, Harold Uhl","Kevin Downes, David A.R. White, Stephen Baldwin, Rebecca St. James, Candace Cameron Bure, Sean McGowan, Scott Whyte, Ryan Doom, Chriss Anglin, Peggy Lord Chilton, Michael Daley, Brian F. Durkin, Billoah Greene, Alex Huynh, Sy Richardson, Si Robertson, Hal Rudnick, William Schreck, Carey Scott, Dylan John Seaton, Sean Sedgwick, Patrick Wenk",2015-07-01,2016-05-03,96.0,Pure Flix,Rotten,9.0,11.0,Spilled,56.0,1765.0,5,1,10,FLOP
m/falcon_rising,Falcon Rising,A former Marine (Michael Jai White) travels to Brazil to hunt down the brutal Japanese mobsters who attacked his sister and left her for dead.,R,Action & Adventure,Ernie Barbarash,Y.T. Parazi,"Michael Jai White, Laila Ali, Neal McDonough, Masashi Odate, Hazuki Kato, Lateef Crowder, Millie Ruperto",2014-09-05,2016-12-05,103.0,Freestyle Releasing,Rotten,43.0,7.0,Spilled,43.0,506.0,5,3,4,FLOP
m/fallen_2016,Fallen,"On Luce Price's first day at the Sword & Cross boarding school, her attention is captured by the strangely familiar Daniel Grigori. She soon discovers he is a fallen angel who has battled over her for centuries.",PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy, Romance",Scott Hicks,"Michael Arlen Ross, Nichole Millard, Kathryn Price, Lauren Kate","Addison Timlin, Jeremy Irvine, Daisy Head, Joely Richardson, Lola Kirke, Harrison Gilbertson, Hermione Corfield",2017-09-08,2017-08-08,87.0,Destination Films and Vertical Entertainment,Rotten,7.0,14.0,Upright,66.0,1962.0,3,1,13,FLOP
m/falling_overnight,Falling Overnight,"The day before risky surgery to remove a brain tumor, a young man (Parker Croft) meets a vivacious photographer (Emilia Zoryan) who takes him on an exciting journey through their city.",NR,"Comedy, Drama",Conrad Jackson,"Parker Croft, Aaron Golden, Conrad Jackson","Parker Croft, Emilia Ares, Barak Hardley, Millie Zinner, Jake Olson, Elizabeth Jackson, Nathalie Antonia, Christian Yeager, Christopher Blim, Jon Michael Hill, Sascha Rasmussen, Jesse Garcia (III), Chad Matheny, Leon Bubba Ganter, Lydia Bensimmon, Corin Grant, Corin Grant, Aly Mawji, Aaron Golden, Brian Foyster, Michael Finn, Ashli Johnson, Yamil Urena, Ari Davis, Andreea Florescu, Joan McMurtrey, Conrad Jackson",2012-07-27,2017-03-08,88.0,Independent Pictures,Rotten,40.0,5.0,Upright,64.0,358.0,3,2,3,FLOP
m/family_weekend,Family Weekend,"A teenager (Olesya Rulin) takes her self-centered parents (Kristin Chenoweth, Matthew Modine) hostage after they miss her rope-jumping competition.",R,"Comedy, Drama, Kids & Family",Benjamin Epps,Matt K. Turner,"Kristin Chenoweth, Matthew Modine, Olesya Rulin, Joey King, Eddie Hassell, Shirley Jones, Robbie Tucker, Chloe Bridges, Adam Saunders, Chase Maser, Lisa Lauren Smith, Peter Gail, Cindy Chang, Jordan Mahome, Arthur Cartwright, Thomas Hoffman, Thomas Hoffmann",2013-03-29,2017-05-22,96.0,Arc Entertainment,Rotten,36.0,22.0,Spilled,51.0,944.0,10,8,14,FLOP
m/fanny_annie_and_danny,"Fanny, Annie & Danny",A woman brings together her dysfunctional adult offspring for Christmas.,NR,"Drama, Kids & Family",Chris Brown,Chris Brown,"Jill Pixley, Carlye Pollack, Jonathan Leveck, Colette Keen, George Killingsworth, Nick Frangione",2011-12-09,2017-05-22,82.0,Vanguard Cinema,Fresh,67.0,9.0,Upright,83.0,46.0,3,6,3,AVG
m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,"The year is 1926, and Newt Scamander (Eddie Redmayne) has just completed a global excursion to find and document an extraordinary array of magical creatures. Arriving in New York for a brief stopover, he might have come and gone without incident, were it not for a No-Maj (American for Muggle) named Jacob, a misplaced magical case, and the escape of some of Newt's fantastic beasts, which could spell trouble for both the wizarding and No-Maj worlds.",PG-13,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",David Yates (II),J.K. Rowling,"Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler, Colin Farrell, Samantha Morton, Ezra Miller, Jon Voight, Carmen Ejogo, Ron Perlman, Sam Redford, Tristan Tait, Tom Clarke-Hill, Mathew Sim, Faith Wood-Blagrove, Jenn Murray, Corey Peterson, Lucie Pohl, Peter Breitmayer, Jake Samuels, Max Cazier, Dan Hedaya, Christy Meyers, Christy Meyer, Guy Paul, Andreea Paduraru, Walles Hamonde, Dominique Tipper, Kevin Guthrie, Leo Heller, Miles Roughley, Anne Wittman, Erick Hayden, Paul Birchard, Ronan Raftery, Tom Hodgkins, Josh Cowdery, Ellie Haddington, Joseph Macnab, Bart Edwards, Todd Boyce, Martin Oelbermann, Gemma Chan, Richard Clothier, Christian Dixon, Akin Gazi, Rich Hardisty, Elizabeth Moynihan, Miquel Brown, Wunmi Mosaku, Cristian Solimeno, Matthew Wilson, Brian Mulvey, Aretha Ayeh Emmi, Nick McGaughey, Sean Cronin, Zoë Kravitz, Arinzé Kene, Jane Perry, Collin Farrell, Scott Goldman, Tim Bentinck",2016-11-18,2017-03-08,127.0,Warner Bros. Pictures,Certified-Fresh,74.0,338.0,Upright,79.0,87980.0,58,250,88,AVG
m/fantastic_beasts_the_crimes_of_grindelwald,Fantastic Beasts: The Crimes of Grindelwald,"In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",PG-13,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",David Yates (II),J.K. Rowling,"Johnny Depp, Kevin Guthrie, Carmen Ejogo, Wolf Roth, Eddie Redmayne, Zoë Kravitz, Callum Turner, Derek Riddell, Cornell John, Ezra Miller, Ingvar Eggert Sigurðsson, Poppy Corby-Tuech, Andrew J. Turner, Maja Bloom, Simon Meacock, David Sakurai, Claudius Peters, Bart Soroczynski, Jude Law, Victoria Yeates, Dan Fogler, Alison Sudol, Katherine Waterston, Alfie Mailley, Claudia Kim, Olafur Darri Olafsson, William Nadylam, David Wilmot, Ed Gaughan, Olivia Popica, Daniele Hugues, Isaac Cortinovis Johnson, Alfie Simmons, Fiona Glascott, Jamie Campbell Bower, Toby Regbo, Jemima Woolnough, Hollie Burgess, Thea Lamb, Joshua Shea, Alfrun Rose, Brontis Jodorowsky, Jessica Williams, Olwen Fouéré, Isaura Barbe, Hugh Quarshie, Isaac Domingos, Keith Chanter, Ruby Woolfenden, Linda Santiago, Christopher Birks, Simon Wan",2018-11-16,2019-02-14,134.0,Warner Bros. Pictures,Rotten,36.0,323.0,Spilled,54.0,15125.0,42,117,206,FLOP
m/fantastic_four_2015,Fantastic Four,"Transported to an alternate universe, four young outsiders gain superhuman powers as they alter their physical form in shocking ways. Reed Richards becomes Mr. Fantastic, able to stretch and twist his body at will, while pal Ben Grimm gains immense strength as the Thing. Johnny Storm becomes the Human Torch, able to control and project fire, while his sister Sue becomes the Invisible Woman. Together, the team must harness their new abilities to prevent Doctor Doom from destroying the Earth.",PG-13,Action & Adventure,Josh Trank,"Jack Kirby, Stan Lee, Jeremy Slater, Simon Kinberg, Josh Trank","Michael B. Jordan, Kate Mara, Miles Teller, Jamie Bell, Toby Kebbell, Jodi Lyn Brockton, Tim Blake Nelson, Chet Hanks, Reg E. Cathey, Aaron V. Williamson, Sue-Lynn Ansari, Don Yesso, Owen Judge, Jane Rumbaua, Christopher Heskey, Wayne Pére, Shauna Rappold, Mary Rachel Dudley, Jaylen Moore, Lance E. Nichols, Jerrad Vunovich, Mary-Pat Green, Rhonda Dents, David Kency, Melissa McCurley, Gus Rhodes, Han Soto, Evan Hannemann, Kylen Davis, Ben VanderMey, Adam Fristoe, John L. Armijo, Marco St. John, Gretchen Koerner, Nick Killebrew, Deneen Tyler, Lisa Ann Smith, Nicolas Bosc, Alexandra Goel, Anthony Reynolds, Patrick Kearns, Elton LeBlanc, John Ceallach, Mike R. Moreau, Allen Romeraux, Timothy Bell, Daryl Thibodaux, John R. Mangus, Joseph Oliveira, Jesse Yarborough, John Henry, Bryan Stapf, Kerry Sims, Robert 'Bigg Sarge' Deon, Cynthia LeBlanc, Ronnie Hooks, John Teal Jr., John Teal Jr., Jeffry Griffin, Anthony Ramsey, Ravi Naidu, Duane Moseley, Andre Pushkin, Jerome Andries, Santana Draper, Michael 'Mick' Harrity, Artrial Clark, Michael D. Anglin, Kyle Crosby, David Michael Cefalu, Kesha Bullard, Alfonzo Walker, Fernandez Osvaldo, Spence Maughon, Steve Kish, Eric Berris, Garrett Hollingsworth, Gerard 'Jerry' Lewis, Nathan Alan Thomas, Keith Nussbaum, Abhi Trivedi, Nathaniel Holt, Markeith Coleman, Jackson Pyle, Robert D'Arensbourg, Tamika Shanell Johnson, Will Stone, Joshua Montes, Samantha Hopkins, Barney Lanning, Andrew J. Spinks, Sheldon Maurer, Kurt Schlachter, Carlos Retana Jr., Anna R. Parsons, Carlos Retana Jr., Clint Michael Naquin, Adam Elder, M. Jearl Vinot, Roger L. Pfeiffer, Gloria Gonnillini",2015-08-07,2015-11-19,100.0,20th Century Fox,Rotten,9.0,258.0,Spilled,18.0,137802.0,51,23,235,FLOP
m/far_from_men,Far from Men,"In 1950s Algeria, a schoolteacher (Viggo Mortensen) agrees to deliver an admitted murderer (Reda Kateb) to a French court for trial.",NR,"Art House & International, Drama",David Oelhoffen,David Oelhoffen,"Viggo Mortensen, Reda Kateb, Djemel Barek, Vincent Martin, Nicolas Giraud, Jean-Jérôme Esposito, Hatim Sadiki, Yann Goven, Antoine Régent, Sonia Amori, Antoine Laurent, Ángela Molina",2015-04-29,2016-08-10,102.0,Tribeca Film,Fresh,84.0,32.0,Upright,72.0,1640.0,10,27,5,HIT
m/far_from_the_madding_crowd_2014,Far From the Madding Crowd,"A headstrong Victorian beauty (Carey Mulligan) has her choice of three different suitors: a sheep farmer (Matthias Schoenaerts), a dashing soldier (Tom Sturridge) and a prosperous, older bachelor (Michael Sheen).",PG-13,"Drama, Romance",Thomas Vinterberg,David Nicholls,"Carey Mulligan, Tom Sturridge, Matthias Schoenaerts, Michael Sheen, Juno Temple, Jessica Barden, Hilton McRae, Richard M. Dixon, Bradley Hall, Jamie Lee-Hill, Lilian Price, Alisha Heng, Chris Gallarus, Emma Stapleforth, Don Whistance, David J. Fenton, Michael Jan Dixon, Eloise Oliver, John Neville, Anna Liddell, Johnathon Neal, Helen Evans, Andrew Shepard Price, Damien Weston, Ashley Whiteman, Constance Rose Wyatt, Gemma Stacey, Roderick Swift, Nicholas Parker",2015-05-01,2016-10-13,118.0,20th Century Fox,Certified-Fresh,84.0,190.0,Upright,75.0,18379.0,53,160,30,HIT
m/far_out_isnt_far_enough_the_tomi_ungerer_story,Far Out Isn't Far Enough: The Tomi Ungerer Story,Artist and author Tomi Ungerer's creativity and penchant for outspokenness contribute both to his great success and to his being the subject of controversy.,NR,"Documentary, Special Interest",Brad Bernstein,Brad Bernstein,"Maurice Sendak, Jules Feiffer, Steven Heller, Michael Patrick Hearn, Patrick Skene Catling, Burton Pike, Aria Ungerer, Patrick Joseph Sheehan, Caroline Ward",2013-06-14,2013-10-22,98.0,First Run Features,Fresh,91.0,23.0,Upright,89.0,388.0,9,21,2,HIT
m/farewell_my_queen,"Farewell, My Queen",Marie Antoinette develops a relationship with a reader during the last days of the French Revolution.,R,"Art House & International, Drama",Benoît Jacquot,"Benoît Jacquot, Gilles Taurand, Gilles Taurant","Léa Seydoux, Diane Kruger, Virginie Ledoyen, Xavier Beauvois, Noémie Lvovsky, Michel Robin, Julie-Marie Parmentier, Lolita Chammah, Vladimir Consigny, Dominique Reymond, Anne Benoît, Herve Pierre, Aladin Reibel, Jacques Nolot, Jacques Herlin, Martine Chevallier, Jacques Boudet, Jean-Chrétien Sibertin-Blanc, Jean-Marc Stehle, Serge Renko, Gilles David, Pierre Rochefort, Rodolphe Conge, Grégory Gadebois, Francis Leplay, Yves Penay, Sonia Joubert, Tibo, Pierre Berriau, Pascal Vannson, Maurice Delaistier, Emmanuelle Bougerol, Véronique Nordey, Jean-Pierre Guerin, Pascaline Girardot, Marthe Caufman",2012-07-13,2016-02-02,100.0,Cohen Media Group,Certified-Fresh,93.0,83.0,Spilled,56.0,10075.0,27,77,6,HIT
m/farmageddon,Farmageddon,A filmmaker explores the assertion that government regulations benefit agri-business and threaten small farms.,G,"Documentary, Special Interest",Kristin Canty,Kristin Canty,"Mark McAfee, Joel Salatin, David Gumpert, Sally Fallon, Gary Cox, David Acheson, Linda Faillace, Larry Faillace, Steve Smith, Barbara Smith, Judith McGeary, Eric Wagoner",2011-06-24,2017-03-09,90.0,Kristin Marie Productions,Rotten,57.0,14.0,Upright,81.0,311.0,8,8,6,FLOP
m/farming,Farming,"A Nigerian boy, ""farmed out"" by his parents to a white British family, becomes the leader of a skinhead gang.",R,Drama,Adewale Akinnuoye-Agbaje,Adewale Akinnuoye-Agbaje,"Adewale Akinnuoye-Agbaje, Damson Idris, Gugu Mbatha-Raw, Jaime Winstone, Kate Beckinsale",2019-10-25,2019-10-25,107.0,Momentum Pictures,Rotten,56.0,32.0,Upright,78.0,28.0,8,18,14,FLOP
m/fast_and_furious_6,Fast & Furious 6,"Since Dom (Vin Diesel) and Brian's (Paul Walker) heist in Rio left them and their crew very rich people, they've scattered across the globe; however, they must still live as fugitives, unable to return home to their families. Meanwhile, Agent Hobbs (Dwayne Johnson) has been tracking a gang of lethally skilled mercenary drivers whose second-in-command is someone Dom knows. Unable to take them down himself, Hobbs asks Dom and his crew for help in exchange for full pardons for everyone.",PG-13,Action & Adventure,Justin Lin,Chris Morgan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster, Michelle Rodriguez, Tyrese Gibson, Sung Kang, Gal Gadot, Chris ""Ludacris"" Bridges, Luke Evans, Elsa Pataky, Gina Carano, Thure Lindhardt, Kim Kold, Shea Whigham, Jason Statham, Clara Paget, Joe Taslim, Samuel Stewart, Benjamin Davies, Matthew Stirling, David Ajala, Andrei Zayats, John Ortiz, Jason Thorpe, Huggy Leaver, Alexander Vegh, Stephen Marcus, Magda Rodriguez, Andy Pointon, Victor Gardener, Sol De La Barreda, Estrella Lorenzo, Francois Philippart De Foy, Carolina Pozo, Elvira Tricas, Jhony Mendez, Revil Beat, Sarah Li, Lizandro Leon, Sonia Hernandez Fumero, Pilar Mayo",2013-05-24,2015-01-06,130.0,Universal Pictures,Fresh,71.0,207.0,Upright,84.0,348750.0,43,146,61,AVG
m/fast_color,Fast Color,"Hunted by mysterious forces, a young woman who has supernatural abilities must go on the run when her powers are discovered. With nowhere else to go, she flees back to her family and the farmhouse she abandoned long ago. There, while being pursued by the local sheriff, she begins to mend the broken relationships with her mother and daughter and learns that the power she needed was inside her all along.",PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Julia Hart,Julia Hart,"Gugu Mbatha-Raw, Lorraine Toussaint, Saniyya Sidney, David Strathairn, Christopher Denham",2019-04-19,2019-06-18,100.0,LD Entertainment,Certified-Fresh,81.0,86.0,Upright,61.0,297.0,17,70,16,HIT
m/fast_five,Fast Five,"Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of custody, they've traveled border to border to evade authorities. In Rio de Janeiro, they must do one final job before they can gain their freedom for good. Assembling their elite team of car racers, Brian and Dom know they must confront the corrupt businessman who wants them dead, before the federal agent (Dwayne Johnson) on their trail finds them.",PG-13,"Action & Adventure, Drama, Mystery & Suspense",Justin Lin,Chris Morgan,"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnson, Tyrese Gibson, Chris ""Ludacris"" Bridges, Sung Kang, Matt Schulze, Gal Gadot, Tego Calderon, Don Omar, Joaquim de Almeida, Elsa Pataky, Michael Irby, Fernando Chien, Alimi Ballard, Yorgo Constantine, Geoff Meed, Geoff Mead, Joseph Melendez, Jeirmarie Osorio, Mark Hicks, Estaban Cueto, Corey Michael Eubanks, Luis Da Silva Jr., Luis Gonzaga, Ben Blankenship, Pedro Garcia, Pedro U. Garcia, Arturo Gaskins, Jay Jackson, Arlene Santana, Kent Shocknek, Sharon Tay, Andy Rosa Adler",2011-04-29,2015-01-01,130.0,Universal Pictures,Certified-Fresh,77.0,201.0,Upright,83.0,139736.0,44,155,46,AVG
m/fastball,Fastball,"Current and former baseball players Hank Aaron, Derek Jeter, Bob Gibson, George Brett, Johnny Bench, Justin Verlander, David Price and others discuss the art of throwing and hitting the fastball.",NR,Documentary,Jonathan Hock,Jonathan Hock,"Kevin Costner, Hank Aaron, Nolan Ryan, Derek Jeter, Goose Gossage, Pat Gillick, Mike Schmidt, Chris Cooper, Bob Gibson, Ernie Banks, Johnny Bench, George Brett, Justin Verlander, Bob Feller, Tony Gwynn, Doug Harvey, Sandy Koufax, Walter Johnson, Joe Morgan, Steve Dalkowski, Aroldis Chapman, Craig Kimbrel, David Price",2016-03-25,2017-03-25,87.0,Gravitas Ventures,Fresh,90.0,20.0,Upright,79.0,617.0,12,18,2,HIT
m/fat_kid_rules_the_world,Fat Kid Rules the World,"A high-school dropout (Matt O'Leary) saves the life of an overweight, suicidal misfit (Jacob Wysocki) and asks him to co-found a new punk-rock duo.",R,Comedy,Matthew Lillard,"Michael M.B. Galvin, Peter Speakman","Jacob Wysocki, Matt O'Leary, Billy Campbell, Dylan Arnold, Lili Simmons, Tyler Trerise, Russell Hodgkinson, Sean Donovan, Julian Gavilanes, Dennis Doornbos, Lino Marioni, Michael Loftus, Stephanie Park, Duane Cawthon, Frances Hearn, Brian Sutherland, Ernie Hall, Laura Hanson, Matthew Lillard, Michael Freiburger, Ian Lesage, Danielle Hammer, Jeannie Ojjo Johnson, Vivan Dugré, Amber Wolfe Wollam, Lance McQueen, Patrick Alcorn, Rick Rosenthal, Jaeson Albritton, Alanna Reynolds, Heidi Korndorffer, Rachel Pate, Elizabeth Bates-Shull, Eva Simmons",2012-10-05,2013-01-22,94.0,Outsider Pictures,Fresh,84.0,25.0,Upright,61.0,2512.0,12,21,4,HIT
m/fat_sick_and_nearly_dead_2011,"Fat, Sick and Nearly Dead","Morbidly obese and stricken with an autoimmune disease, a man endeavors to drink only fruit and vegetable juice for 60 days in an effort to lose weight and reclaim his health.",PG,"Documentary, Special Interest, Sports & Fitness","Joe Cross, Kurt Engfehr","Joe Cross, Robert Mac, Kurt Engfehr",Dick Gregory,2011-04-01,2016-11-30,97.0,Reboot Media,Fresh,69.0,13.0,Upright,85.0,2074.0,5,9,4,AVG
m/father_figures_2017,Father Figures,"Brothers Kyle and Peter Reynolds were raised to believe that their dad died when they were young. They're shocked to discover that their mother lied about his death because she never knew who the biological father was. Setting out on an epic quest to find him, the two siblings soon learn more about their mom's past than they ever wanted to know.",R,Comedy,Lawrence Sher,Justin Malen,"Owen Wilson, Ed Helms, J.K. Simmons, Katt Williams, Terry Bradshaw, Ving Rhames, Glenn Close, June Squibb, Christopher Walken",2017-12-22,2018-03-15,113.0,Warner Bros. Pictures,Rotten,17.0,48.0,Spilled,24.0,4377.0,14,8,40,FLOP
m/fathers_and_daughters,Fathers And Daughters,"A Pulitzer Prize-winning author (Russell Crowe) checks into a mental health facility after the death of his wife, while his daughter (Amanda Seyfried) falls for an aspiring novelist (Aaron Paul) years later.",R,"Art House & International, Drama",Gabriele Muccino,"Brad Desch, Gabriele Muccino","Russell Crowe, Amanda Seyfried, Aaron Paul, Diane Kruger, Bruce Greenwood, Kylie Rogers, Quvenzhane Wallis, Janet McTeer, Octavia Spencer, Jane Fonda, Ryan Eggold, Michelle Veintimilla, Brendan Griffin, Claire Chapelli, Paula Marshall, Chris Douglass, Jason McCune, Charles David Richards",2016-07-08,2016-08-09,116.0,Voltage Pictures,Rotten,28.0,50.0,Spilled,58.0,2401.0,16,14,36,FLOP
m/fathers_day_2011,Father's Day,A vigilante tracks down a depraved serial killer.,NR,Horror,"Adam Brooks, Jeremy Gillespie, Conor Sweeney, Adam Brooks, Matthew Kennedy, Steven Kostanski","Adam Brooks, Jeremy Gillespie, Matthew Kennedy, Steven Kostanski, Conor Sweeney","Adam Taylor Brooks, Matthew Kennedy, Conor Sweeney, Amy Groening, Brent Neale, Garrett Hinatuk, Meredith Sweeney, Mackenzie Murdock, Adam Brooks, Kevin Anderson, Lloyd Kaufman",2012-01-13,2016-12-02,99.0,Troma,Fresh,80.0,10.0,Upright,62.0,347.0,1,8,2,AVG
m/faults,Faults,A renowned authority on mind control encounters a formidable challenge when he is hired to deprogram a strong-willed cultist.,NR,"Drama, Mystery & Suspense",Riley Stearns,Riley Stearns,"Mary Elizabeth Winstead, Leland Orser, Beth Grant, Chris Ellis, Jon Gries, Lance Reddick",2015-03-06,2015-09-01,89.0,Screen Media Films,Fresh,91.0,35.0,Upright,68.0,4366.0,9,32,3,HIT
m/feast_of_the_seven_fishes,Feast of the Seven Fishes,"The Oliverio family readies its Feast of the Seven Fishes, an Italian Christmas tradition stretching back to the old country.",NR,"Comedy, Drama, Romance",Robert Tinnell,Robert Tinnell,"Madison Iseman, Josh Helman, Addison Timlin, Ray Abruzzo, Lynn Cohen, Joe Pantoliano, Paul Ben-Victor",2019-11-15,2019-11-15,99.0,SHOUT! STUDIOS,Fresh,88.0,16.0,Upright,93.0,59.0,5,14,2,HIT
m/fed_up_2014,Fed Up,Filmmaker Stephanie Soechtig and journalist Katie Couric investigate how the American food industry may be responsible for more sickness than previously realized.,PG,"Documentary, Special Interest, Sports & Fitness",Stephanie Soechtig,"Stephanie Soechtig, Mark Monroe","Katie Couric, Bill Clinton, Joe Lopez, Maggie Valentine, Brady Kluge, Wesley Randall, Michelle Obama, Robert Lustig, Michael Pollan",2014-05-09,2016-11-02,92.0,Radius-TWC,Certified-Fresh,81.0,68.0,Upright,84.0,12500.0,29,55,13,HIT
m/feel_the_beat,Feel the Beat,"After failing to find success on Broadway, April returns to her hometown and is recruited to train a misfit group of young dancers.",NR,Drama,Elissa Down,"Michael Armbruster, Shawn Ku","Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Carina Battrick, Enrico Colantoni, Marissa Jaret Winokur, Dennis Andres, Marcia Bennett, Drew Davis, Pat Thornton, Ken Pak, Pamela MacDonald, Merle Newell, Karen Skidmore, Ali Badshah, Sandra Battaglini, Elana Dunkelman, Jarret Wright, Hailey Hermida",2020-06-19,2020-06-22,109.0,Netflix,Rotten,47.0,15.0,Spilled,57.0,141.0,1,7,8,FLOP
m/felix_and_meira,Felix & Meira,A young married woman finds freedom from the Orthodox Jewish community through a relationship with a young man mourning his father's death.,R,Drama,Maxime Giroux,"Maxime Giroux, Alexandre Laferrière","Martin Dubreuil, Hadas Yaron, Luzer Twersky, Anne-Élisabeth Bossé, Benoît Girard, Josh Dolguin",2015-04-17,2016-10-27,106.0,Oscilloscope Laboratories,Certified-Fresh,78.0,45.0,Upright,61.0,1080.0,25,35,10,AVG
m/felony_2013,Felony,"A decorated police officer (Joel Edgerton) covers up his involvement in a traffic accident that left a boy in a coma, but lies and suspicion soon entangle two detectives (Jai Courtney, Tom Wilkinson) assigned to the case.",NR,Mystery & Suspense,Matthew Saville,Joel Edgerton,"Joel Edgerton, Melissa George, Jai Courtney, Sarah Roberts, Tom Wilkinson, George Basha, Rosie Lourde, Belinda Bromilow, Lizzie Schebesta, Brendan Donoghue, Chum Ehelepola, Rhonda Doyle, Ryan Gibson, Alex Haddad, Patrick Thompson, Andy Mark Simpson, Paul Caesar, Thomas Unger, Jamie Way, John Harding, Vico Thai, Murray Scarce",2014-10-17,2017-01-07,105.0,Gravitas Ventures,Fresh,70.0,33.0,Spilled,46.0,4459.0,9,23,10,AVG
